0,hara.takumi.cos,1557748272,redbeersake,none,empty
1,clover.lee.161009,239769510,jisongmkk,none,empty
2,goh.chengying,46651034,gohcy,none,empty
3,brandon.tanoto,122123083,brandontotochan,none,empty
4,jessie.lim.904,112912280,jessie851001,none,empty
5,waner.zhuo,34235747,kanerayn,none,empty
6,neil.humphreys.165,30636080,humphreychping,none,empty
7,daryl.yeo.75,74538749,darylnyeo,none,empty
8,shiyandelwyn,309125233,delwynnnn,none,empty
9,spancer.robotussin,25515380,cancer_scope,none,empty
10,kcisthename,1489953733,woon_tien,none,empty
